id,Total Pop Enrolled,Percent Total Pop Enrolled,Margin Total Pop,County,State
0500000US24021,44379,65.7,850,Frederick County, Maryland
0500000US24025,40768,64.9,1182,Harford County, Maryland
0500000US24027,59842,67.6,1567,Howard County, Maryland
0500000US24031,178537,66.1,2121,Montgomery County, Maryland
0500000US24033,145159,60.9,2031,Prince George's County, Maryland
0500000US24037,21152,68.9,1461,St. Mary's County, Maryland
0500000US24043,24340,71.5,1088,Washington County, Maryland
0500000US24045,16503,57.5,772,Wicomico County, Maryland
0500000US24510,83162,56.3,2158,Baltimore city, Maryland
0500000US25001,25527,65.2,1201,Barnstable County, Massachusetts
0500000US25003,16811,63.9,916,Berkshire County, Massachusetts
0500000US25005,87713,65.8,1446,Bristol County, Massachusetts
0500000US25009,122555,68.0,1996,Essex County, Massachusetts
0500000US25011,9859,67.0,577,Franklin County, Massachusetts
0500000US25013,76345,64.0,1855,Hampden County, Massachusetts
0500000US25015,18526,33.6,599,Hampshire County, Massachusetts
0500000US25017,235443,56.5,3169,Middlesex County, Massachusetts
0500000US25021,110926,62.8,1851,Norfolk County, Massachusetts
0500000US25023,85084,65.6,1649,Plymouth County, Massachusetts
0500000US25025,97777,43.7,2352,Suffolk County, Massachusetts
0500000US25027,132309,63.1,2267,Worcester County, Massachusetts
0500000US26005,21867,77.5,685,Allegan County, Michigan
0500000US26017,16704,76.3,880,Bay County, Michigan
0500000US26021,24514,69.4,737,Berrien County, Michigan
0500000US26025,22266,69.9,898,Calhoun County, Michigan
0500000US26037,13112,65.1,457,Clinton County, Michigan
0500000US26045,17118,69.7,655,Eaton County, Michigan
0500000US26049,69383,74.5,1546,Genesee County, Michigan
0500000US26055,14376,75.0,841,Grand Traverse County, Michigan
0500000US26065,41498,43.1,1366,Ingham County, Michigan
0500000US26073,8363,32.6,789,Isabella County, Michigan
0500000US26075,25329,69.3,738,Jackson County, Michigan
0500000US26077,41659,53.0,1045,Kalamazoo County, Michigan
0500000US26081,115353,69.2,1967,Kent County, Michigan
0500000US26087,13944,76.0,540,Lapeer County, Michigan
0500000US26091,15617,69.3,618,Lenawee County, Michigan
0500000US26093,31271,70.7,735,Livingston County, Michigan
