GEO_ID,PCT_total_households_with_Device,PCT_total_households_with_Desktop,PCT_total_households_with_NO,PCT_total_households_with_Smartphone,PCT_total_households_with_NO2,PCT_total_households_with_Portable,PCT_total_households_with_NO3,PCT_total_households_with_Other,PCT_total_households_with_NO4,PCT_total_households_No_Device,PCT_total_households_with_SUB,PCT_total_households_with_DU,PCT_total_households_with_Broadband,PCT_total_households_with_Cellular,PCT_total_households_with_Cell_NO,PCT_total_households_with_Cable,PCT_total_households_with_SAT,PCT_total_households_without_SUB
0500000US27019,95.6,87.8,2.5,90.6,4.4,79.0,0.4,4.0,0.0,4.4,91.8,0.1,91.8,87.8,8.3,79.6,7.1,8.2
0500000US27037,95.9,87.1,3.4,89.1,3.5,74.5,1.2,2.7,0.0,4.1,92.5,0.1,92.4,85.6,7.1,83.2,4.7,7.5
0500000US27053,94.7,85.5,4.1,88.0,5.5,67.0,0.8,3.0,0.0,5.3,88.8,0.2,88.6,79.3,7.5,78.7,4.6,11.2
0500000US27109,93.4,82.7,4.2,86.0,6.6,68.3,1.2,2.4,0.0,6.6,87.2,0.5,86.7,79.4,10.0,73.7,5.0,12.8
0500000US27123,92.9,80.7,4.7,84.7,6.7,63.8,1.0,2.4,0.1,7.1,88.4,0.5,87.9,79.3,11.9,73.4,4.6,11.6
0500000US27131,89.8,78.1,7.3,80.3,5.9,62.3,0.2,1.4,0.0,10.2,86.0,0.2,85.8,77.8,12.2,68.8,6.0,14.0
0500000US27137,88.0,72.5,5.4,77.8,9.2,57.0,1.5,1.6,0.0,12.0,81.8,0.7,81.1,72.2,14.8,59.8,11.3,18.2
0500000US27139,96.2,89.4,2.2,91.2,4.2,74.9,0.6,2.8,0.0,3.8,93.2,0.2,93.0,89.0,8.0,82.1,7.9,6.8
0500000US27141,95.8,83.7,3.3,90.1,8.2,66.4,0.2,1.5,0.0,4.2,92.9,0.7,92.2,86.7,14.6,72.4,8.7,7.1
0500000US27145,91.9,75.6,5.5,83.2,9.2,63.2,0.8,1.8,0.0,8.1,84.3,0.4,83.9,74.8,10.8,66.2,7.0,15.7
0500000US27163,94.6,86.8,3.2,88.7,3.5,73.0,0.6,2.9,0.0,5.4,92.5,0.4,92.1,84.2,8.7,80.2,6.1,7.5
0500000US27171,91.6,79.2,4.2,85.2,6.9,62.9,0.4,2.8,0.0,8.4,89.1,0.3,88.8,81.1,14.7,70.3,8.5,10.9
0500000US28033,94.5,76.9,1.9,89.0,11.2,67.0,1.0,2.5,0.0,5.5,90.3,0.1,90.2,85.7,16.9,69.6,8.5,9.7
0500000US28035,84.9,63.5,3.4,77.5,11.8,55.0,0.5,3.2,0.0,15.1,78.1,0.0,78.1,67.5,21.2,51.9,5.5,21.9
0500000US28047,91.9,68.8,2.5,86.0,17.2,57.3,1.3,2.7,0.0,8.1,83.8,0.2,83.5,75.1,15.5,61.2,9.9,16.2
0500000US28049,89.3,65.6,3.5,83.3,16.5,52.3,0.7,1.5,0.0,10.7,82.2,0.1,82.1,77.1,20.4,58.7,5.5,17.8
0500000US28059,91.9,71.2,3.2,87.1,11.8,62.5,0.5,1.6,0.0,8.1,84.5,0.7,83.7,79.9,17.3,60.7,13.4,15.5
0500000US28067,90.2,54.3,3.1,84.4,27.0,49.9,0.9,1.3,0.0,9.8,62.7,0.0,62.6,46.0,18.1,38.5,6.5,37.3
0500000US28075,86.6,65.9,2.4,80.9,12.3,55.7,1.0,2.6,0.0,13.4,80.8,0.3,80.6,75.1,22.5,55.3,6.8,19.2
0500000US28081,87.0,59.8,4.6,79.9,18.9,49.6,0.6,1.4,0.0,13.0,77.2,0.2,77.0,68.5,26.4,46.6,9.3,22.8
0500000US28089,96.0,84.4,4.0,89.7,7.2,70.0,0.6,2.3,0.0,4.0,93.2,0.0,93.2,88.8,13.9,73.6,10.2,6.8
0500000US28121,92.8,79.7,3.6,87.2,7.9,66.2,1.3,2.2,0.0,7.2,82.8,0.2,82.5,75.3,12.0,60.1,12.7,17.2
