id,pop_total,county,state,pop_class
0500000US13073,156010,Columbia County,Georgia,Small Metro Area
0500000US13075,17229,Cook County,Georgia,Micro Area
0500000US13077,146158,Coweta County,Georgia,Small Metro Area
0500000US13079,12130,Crawford County,Georgia,Micro Area
0500000US13081,20128,Crisp County,Georgia,Micro Area
0500000US13083,16251,Dade County,Georgia,Micro Area
0500000US13085,26798,Dawson County,Georgia,Micro Area
0500000US13087,29367,Decatur County,Georgia,Micro Area
0500000US13089,764382,DeKalb County,Georgia,Medium Metro Area
0500000US13091,19925,Dodge County,Georgia,Micro Area
0500000US13093,11208,Dooly County,Georgia,Micro Area
0500000US13095,85790,Dougherty County,Georgia,Small Metro Area
0500000US13097,144237,Douglas County,Georgia,Small Metro Area
0500000US13099,10854,Early County,Georgia,Micro Area
0500000US13101,3697,Echols County,Georgia,Rural Area
0500000US13103,64769,Effingham County,Georgia,Small Metro Area
0500000US13105,19637,Elbert County,Georgia,Micro Area
0500000US13107,22768,Emanuel County,Georgia,Micro Area
0500000US13109,10774,Evans County,Georgia,Micro Area
0500000US13111,25319,Fannin County,Georgia,Micro Area
0500000US13113,119194,Fayette County,Georgia,Small Metro Area
0500000US13115,98584,Floyd County,Georgia,Small Metro Area
0500000US13117,251283,Forsyth County,Georgia,Medium Metro Area
0500000US13119,23424,Franklin County,Georgia,Micro Area
0500000US13121,1066710,Fulton County,Georgia,Large Metro Area
0500000US13123,31353,Gilmer County,Georgia,Micro Area
0500000US13125,2884,Glascock County,Georgia,Rural Area
0500000US13127,84499,Glynn County,Georgia,Small Metro Area
0500000US13129,57544,Gordon County,Georgia,Small Metro Area
0500000US13131,26236,Grady County,Georgia,Micro Area
0500000US13133,18915,Greene County,Georgia,Micro Area
0500000US13135,957062,Gwinnett County,Georgia,Medium Metro Area
0500000US13137,46031,Habersham County,Georgia,Micro Area
0500000US13139,203136,Hall County,Georgia,Small Metro Area
0500000US13141,8735,Hancock County,Georgia,Rural Area
0500000US13143,29919,Haralson County,Georgia,Micro Area
0500000US13145,34668,Harris County,Georgia,Micro Area
0500000US13147,25828,Hart County,Georgia,Micro Area
0500000US13149,11412,Heard County,Georgia,Micro Area
0500000US13151,240712,Henry County,Georgia,Small Metro Area
0500000US13153,163633,Houston County,Georgia,Small Metro Area
0500000US13155,9666,Irwin County,Georgia,Rural Area
0500000US13157,75907,Jackson County,Georgia,Small Metro Area
0500000US13159,14588,Jasper County,Georgia,Micro Area
0500000US13161,14779,Jeff Davis County,Georgia,Micro Area
0500000US13163,15709,Jefferson County,Georgia,Micro Area
0500000US13165,8674,Jenkins County,Georgia,Rural Area
0500000US13167,9189,Johnson County,Georgia,Rural Area
0500000US13169,28347,Jones County,Georgia,Micro Area
0500000US13171,18500,Lamar County,Georgia,Micro Area
