id,pop_total,county,state,pop_class,year,broadband_pct,total_pop_enrolled,percent_total_pop_enrolled,margin_total_pop,geo_id_x,est_total_households,est_med_income_households,est_total_families,est_med_income_families,geo_id_y,est_total_pop_16_over,est_emp_pop_ratio_16_over,est_unemp_pop_ratio_16_over,geo_id_x,total_one_device,total_multi_device,total_without_device,total_households_org,geo_id_y,total_with_subs_org,total_without_subs_org,total_cellular_subs,total_with_cell_sub_only,total_subs,total_without_subs,total_subs_w_cell
0500000US04001,66021.0,Apache County,Arizona,Small Metro Area,2018.0,0.38,15882.0,84.1,599.0,0500000US04001,21936.0,30207.0,13927.0,40887.0,0500000US04001,54577.0,32.5,9.6,0500000US04001,24353.0,20990.0,4466.0,54577.0,0500000US04001,,,,,40177.0,0.0,40177.0
0500000US04003,125447.0,Cochise County,Arizona,Small Metro Area,2018.0,0.78200001,20623.0,72.2,901.0,0500000US04003,49751.0,50495.0,31105.0,64012.0,0500000US04003,102489.0,42.3,6.1,0500000US04003,45314.0,38461.0,12272.0,102489.0,0500000US04003,88356.0,33137.0,,,0.0,33137.0,0.0
0500000US04005,145101.0,Coconino County,Arizona,Small Metro Area,2018.0,0.77399999,22193.0,44.5,979.0,0500000US04005,47275.0,61843.0,29827.0,73454.0,0500000US04005,116671.0,58.0,5.8,0500000US04005,46141.0,48474.0,6652.0,116671.0,0500000US04005,77026.0,15305.0,,,27571.0,15305.0,27571.0
0500000US04007,53272.0,Gila County,Arizona,Small Metro Area,2018.0,0.61500001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US04009,38533.0,Graham County,Arizona,Micro Area,2018.0,0.71899998,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US04011,9563.0,Greenlee County,Arizona,Rural Area,2018.0,0.76100004,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US04012,16557.0,La Paz County,Arizona,Micro Area,2018.0,0.60600001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US04013,4420568.0,Maricopa County,Arizona,Large Metro Area,2018.0,0.84100002,768832.0,69.3,5556.0,0500000US04013,1582464.0,65252.0,1043279.0,76923.0,0500000US04013,3478309.0,61.5,4.6,0500000US04013,1558802.0,1401188.0,281070.0,3478309.0,0500000US04013,2784360.0,968670.0,153171.0,,532927.0,968670.0,686098.0
0500000US04015,213267.0,Mohave County,Arizona,Small Metro Area,2018.0,0.78200001,24296.0,73.9,1377.0,0500000US04015,90270.0,46060.0,56545.0,53244.0,0500000US04015,177746.0,40.9,9.9,0500000US04015,81874.0,62277.0,26662.0,177746.0,0500000US04015,162849.0,26312.0,,,0.0,26312.0,0.0
0500000US04017,106717.0,Navajo County,Arizona,Small Metro Area,2018.0,0.60699999,22196.0,84.5,677.0,0500000US04017,34285.0,40463.0,22926.0,48056.0,0500000US04017,83803.0,38.4,14.4,0500000US04017,38393.0,31479.0,8036.0,83803.0,0500000US04017,42731.0,,,,35348.0,0.0,35348.0
0500000US04019,1043433.0,Pima County,Arizona,Large Metro Area,2018.0,0.83100003,162054.0,62.3,2194.0,0500000US04019,402323.0,53464.0,246052.0,65641.0,0500000US04019,847376.0,53.6,5.7,0500000US04019,372170.0,329803.0,88274.0,847376.0,0500000US04019,641981.0,287902.0,26625.0,,177339.0,287902.0,203964.0
0500000US04021,425264.0,Pinal County,Arizona,Medium Metro Area,2018.0,0.80500001,79290.0,77.1,2194.0,0500000US04021,147936.0,59058.0,109641.0,64161.0,0500000US04021,356563.0,45.7,7.2,0500000US04021,166456.0,133518.0,35819.0,356563.0,0500000US04021,291140.0,98462.0,,,32429.0,98462.0,32429.0
0500000US04023,47669.0,Santa Cruz County,Arizona,Micro Area,2018.0,0.69200003,,,,,,,,,,,,,,,,,,,,,,,,,
